gameId,gameDate,mP_ev,mP_pp,mP_sh,FW_ev,FW_pp,FW_sh,FL_ev,FL_pp,FL_sh,HG_ev,HG_pp,HG_sh,HT_ev,HT_pp,HT_sh,TW_ev,TW_pp,TW_sh,GW_ev,GW_pp,GW_sh,MD_ev,MD_pp,MD_sh,MC_ev,MC_pp,MC_sh,CF_ev,CF_pp,CF_sh,CA_ev,CA_pp,CA_sh,FF_ev,FF_pp,FF_sh,FA_ev,FA_pp,FA_sh,SF_ev,SF_pp,SF_sh,SA_ev,SA_pp,SA_sh,GF_ev,GF_pp,GF_sh,GA_ev,GA_pp,GA_sh,APF_ev,APF_pp,APF_sh,APA_ev,APA_pp,APA_sh,ASF_ev,ASF_pp,ASF_sh,ASA_ev,ASA_pp,ASA_sh,RSF_ev,RSF_pp,RSF_sh,RSA_ev,RSA_pp,RSA_sh,RBF_ev,RBF_pp,RBF_sh,RBA_ev,RBA_pp,RBA_sh,RCF_ev,RCF_pp,RCF_sh,RCA_ev,RCA_pp,RCA_sh
2018020382,2018-11-29,62.56666666666666,0.43333333333333335,2,32,0,0,17,1,2,32,0,0,34,0,1,12,0,0,8,0,0,2,0,0,2,0,0,69,1,0,47,0,5,53,1,0,32,0,4,35,1,0,25,0,4,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,6,0,0,6,0,0,2,0,0,1,0,2,2,0,0,1,0,2
2018020397,2018-12-01,46.11666666666667,9.533333333333333,4.35,16,5,2,30,5,4,17,3,1,21,1,0,4,0,1,4,6,1,13,4,2,6,5,4,52,12,3,31,7,10,41,8,2,25,6,8,33,5,2,17,5,5,1,1,0,2,1,1,1,1,0,2,1,1,1,1,0,2,0,1,3,1,0,1,1,0,7,0,0,0,0,2,7,0,0,0,0,2
2018020417,2018-12-04,45.5,6.266666666666667,8.233333333333333,34,5,5,29,2,4,22,0,4,20,2,0,5,0,1,15,3,1,10,0,0,6,4,4,49,6,1,43,1,19,37,3,0,37,1,17,30,3,0,30,1,13,0,0,0,3,0,2,0,0,0,2,0,2,0,0,0,2,0,2,7,0,0,3,0,0,1,0,0,3,0,3,1,0,0,3,0,3
2018020434,2018-12-06,54,4,2,23,4,1,18,3,1,21,0,1,31,2,0,12,1,0,5,1,0,4,0,0,0,0,2,49,13,0,47,1,6,34,12,0,33,1,4,26,9,0,27,1,2,1,1,0,2,1,0,1,1,0,2,0,0,0,1,0,2,0,0,8,0,0,3,0,1,2,1,0,2,0,0,2,1,0,2,0,0
2018020446,2018-12-08,52.25,4.3,3.45,29,3,0,30,3,3,23,1,0,21,0,0,11,0,1,10,1,1,33,2,5,53,0,5,39,8,1,53,1,8,31,8,1,42,1,6,25,6,1,27,1,4,5,1,0,2,0,1,5,1,0,2,0,1,5,1,0,2,0,1,4,0,0,4,0,0,3,0,0,2,0,1,3,0,0,2,0,1
2018020456,2018-12-09,55.666666666666664,3.716666666666667,3.7333333333333334,21,3,1,30,0,3,36,0,0,26,0,0,5,0,0,9,0,0,4,0,17,7,2,2,50,9,3,41,1,7,41,7,3,32,1,7,35,6,3,22,1,5,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,5,0,1,5,0,0,2,0,0,1,0,0,2,0,0,1,0,0
2018020465,2018-12-11,50.15,6,3.85,31,3,3,24,0,2,27,2,0,23,1,0,4,0,0,17,2,1,6,0,0,4,0,0,41,7,1,53,0,11,35,4,1,41,0,8,23,2,1,30,0,3,4,0,0,2,0,1,4,0,0,1,0,1,4,0,0,1,0,1,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0
2018020489,2018-12-14,54,4,2,30,7,3,23,2,1,33,1,1,46,5,1,6,0,0,3,0,0,2,2,0,2,0,0,64,17,0,32,2,3,54,12,0,25,2,3,42,9,0,23,2,3,3,0,0,3,2,0,3,0,0,3,2,0,3,0,0,3,2,0,6,3,0,1,1,0,10,2,0,0,0,0,10,2,0,0,0,0
2018020508,2018-12-16,54,4,2,29,4,2,27,2,1,27,0,0,21,2,0,11,1,1,9,1,0,4,0,0,2,0,0,50,17,0,35,1,4,42,11,0,27,1,4,31,6,0,24,1,2,2,0,0,3,1,0,2,0,0,3,1,0,2,0,0,3,1,0,5,0,0,3,0,0,3,1,0,0,0,0,4,1,0,0,0,0
2018020514,2018-12-17,48.81666666666666,5.183333333333334,6,23,2,3,16,3,3,32,0,0,41,3,2,5,1,1,9,0,2,8,0,0,6,2,0,56,4,3,45,0,6,39,3,3,29,0,5,30,2,3,18,0,4,3,1,0,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,10,2,0,6,0,1,1,0,0,3,0,1,1,0,0,3,0,1
