gameId,gameDate,mP_ev,mP_pp,mP_sh,iFW_ev,iFW_pp,iFW_sh,oFW_ev,oFW_pp,oFW_sh,iFL_ev,iFL_pp,iFL_sh,oFL_ev,oFL_pp,oFL_sh,iHG_ev,iHG_pp,iHG_sh,oHG_ev,oHG_pp,oHG_sh,iHT_ev,iHT_pp,iHT_sh,oHT_ev,oHT_pp,oHT_sh,iTW_ev,iTW_pp,iTW_sh,oTW_ev,oTW_pp,oTW_sh,iGW_ev,iGW_pp,iGW_sh,oGW_ev,oGW_pp,oGW_sh,iMD_ev,iMD_pp,iMD_sh,iMC_ev,iMC_pp,iMC_sh,iCF_ev,iCF_pp,iCF_sh,oCF_ev,oCF_pp,oCF_sh,oCA_ev,oCA_pp,oCA_sh,iFF_ev,iFF_pp,iFF_sh,oFF_ev,oFF_pp,oFF_sh,oFA_ev,oFA_pp,oFA_sh,iSF_ev,iSF_pp,iSF_sh,oSF_ev,oSF_pp,oSF_sh,oSA_ev,oSA_pp,oSA_sh,iGF_ev,iGF_pp,iGF_sh,oGF_ev,oGF_pp,oGF_sh,oGA_ev,oGA_pp,oGA_sh,iAPF_ev,iAPF_pp,iAPF_sh,oAPF_ev,oAPF_pp,oAPF_sh,oAPA_ev,oAPA_pp,oAPA_sh,iASF_ev,iASF_pp,iASF_sh,oASF_ev,oASF_pp,oASF_sh,oASA_ev,oASA_pp,oASA_sh,iRSF_ev,iRSF_pp,iRSF_sh,oRSF_ev,oRSF_pp,oRSF_sh,oRSA_ev,oRSA_pp,oRSA_sh,iRBF_ev,iRBF_pp,iRBF_sh,oRBF_ev,oRBF_pp,oRBF_sh,oRBA_ev,oRBA_pp,oRBA_sh,iRCF_ev,iRCF_pp,iRCF_sh,oRCF_ev,oRCF_pp,oRCF_sh,oRCA_ev,oRCA_pp,oRCA_sh
2022020448,2022-12-12,15.166666666666666,8.35,2.3666666666666667,7,1,3,9,3,3,11,5,2,11,6,3,1,0,0,5,1,0,1,0,0,8,2,0,0,0,0,2,0,0,0,0,0,6,1,0,0,0,2,2,0,0,2,6,1,16,19,2,14,2,6,1,4,0,11,16,0,10,2,4,1,2,0,8,11,0,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,1,0,3,3,0,1,0,0,0,1,0,3,3,0,1,0,0
2022020466,2022-12-14,14.05,4.316666666666666,1.8833333333333333,2,2,0,4,2,0,6,2,1,7,2,1,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,6,0,11,0,2,0,0,0,11,4,0,8,0,1,0,0,0,10,2,0,4,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,1
2022020469,2022-12-15,16.566666666666666,5.066666666666666,0.16666666666666666,8,3,0,8,3,0,8,2,1,9,3,1,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,14,7,0,19,0,0,3,2,0,12,4,0,17,0,0,3,1,0,10,2,0,14,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2022020490,2022-12-17,15.216666666666667,4.1,2.5166666666666666,7,1,1,8,3,1,2,1,1,3,3,2,0,0,1,4,0,2,2,0,0,5,0,0,0,0,0,2,0,1,0,0,0,1,1,0,2,0,0,0,0,0,2,0,0,10,1,1,9,3,5,2,0,0,7,1,1,5,3,4,1,0,0,4,1,1,5,3,4,1,0,0,1,0,0,2,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
2022020508,2022-12-19,17.85,2.216666666666667,2.6,9,1,1,10,2,1,6,0,0,7,1,0,1,0,0,3,0,1,1,0,0,6,0,1,1,0,0,3,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,1,0,14,5,0,18,0,7,2,1,0,10,4,0,13,0,5,2,0,0,8,2,0,9,0,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,1,2,0,2,0,0
2022020520,2022-12-21,17.766666666666666,0.85,0.6166666666666667,8,1,0,10,2,1,6,0,0,6,0,0,1,0,0,6,0,0,0,0,0,8,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,14,0,0,0,0,0,13,0,0,8,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,4,0,0,1,0,0
2022020541,2022-12-23,16.183333333333334,2.15,1.8833333333333333,5,0,1,8,0,2,8,0,0,12,3,1,1,0,0,4,0,0,0,0,0,7,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,9,0,0,24,1,4,2,0,0,7,0,0,19,1,4,2,0,0,6,0,0,13,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
2022020559,2022-12-28,13.466666666666667,7.383333333333334,0,3,1,0,3,2,0,9,1,0,9,5,0,0,0,0,1,1,0,0,1,0,8,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,2,0,1,0,0,10,7,0,11,3,0,1,0,0,6,6,0,8,3,0,1,0,0,5,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,3,1,0,1,0,0,1,1,0,3,1,0
2022020564,2022-12-29,10.9,4.2,2.433333333333333,4,1,1,4,4,2,8,1,2,8,4,3,1,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,8,3,0,17,1,9,0,0,0,6,1,0,14,1,6,0,0,0,5,1,0,12,1,6,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
2022020580,2022-12-31,15.016666666666667,1.8166666666666667,0.5666666666666667,9,1,0,11,1,0,14,0,0,14,0,1,0,0,0,5,0,0,1,0,0,10,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,21,1,0,16,0,2,2,0,0,16,1,0,15,0,1,2,0,0,12,1,0,11,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,2,0,0,1,0,0,3,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,0
