"task","candidate","modelFile","feature","gain","gainShare","rank"
"Term","LightGBM","term3.rds","x_2_sh_p60_avg",0.00254373649480006,0.00254373649480006,80
"Term","LightGBM","term3.rds","dOCorsiF_2_sh_p60_avg",0.00251040467977048,0.00251040467977048,81
"Term","LightGBM","term3.rds","ixGF_2_pp_p60_avg",0.00240360481806575,0.00240360481806575,82
"Term","LightGBM","term3.rds","oGA_2_ev_p60_avg",0.00239290041714934,0.00239290041714934,83
"Term","LightGBM","term3.rds","y_2_ev_p60_avg",0.00230146150076597,0.00230146150076597,84
"Term","LightGBM","term3.rds","dIGF_2_ev_p60_avg",0.00226714277870395,0.00226714277870395,85
"Term","LightGBM","term3.rds","dX_2_pp_p60_avg",0.00219242648422403,0.00219242648422403,86
"Term","LightGBM","term3.rds","oCorsiA_2_sh_p60_avg",0.00207019413297311,0.00207019413297311,87
"Term","LightGBM","term3.rds","dOGF_2_ev_p60_avg",0.00205508640868881,0.00205508640868881,88
"Term","LightGBM","term3.rds","dICorsiF_2_pp_p60_avg",0.00203846578756357,0.00203846578756357,89
"Term","LightGBM","term3.rds","dHits_2_ev_p60_avg",0.00202412905176097,0.00202412905176097,90
"Term","LightGBM","term3.rds","iCorsiF_2_ev_p60_avg",0.00200006404003192,0.00200006404003192,91
"Term","LightGBM","term3.rds","dOxGA_2_sh_p60_avg",0.00192912243841352,0.00192912243841352,92
"Term","LightGBM","term3.rds","y_2_sh_p60_avg",0.00189306860439187,0.00189306860439187,93
"Term","LightGBM","term3.rds","dOFenwickF_2_sh_p60_avg",0.00187384370949107,0.00187384370949107,94
"Term","LightGBM","term3.rds","dIFenwickF_2_ev_p60_avg",0.00186766034093721,0.0018676603409372,95
"Term","LightGBM","term3.rds","dX_2_sh_p60_avg",0.00186116234320731,0.00186116234320731,96
"Term","LightGBM","term3.rds","blocks_2_sh_p60_avg",0.00182298853384937,0.00182298853384937,97
"Term","LightGBM","term3.rds","dOGA_2_ev_p60_avg",0.00180045986658334,0.00180045986658334,98
"Term","LightGBM","term3.rds","dAssists_2_ev_p60_avg",0.00177039887409374,0.00177039887409374,99
"Term","LightGBM","term3.rds","dIFenwickF_2_pp_p60_avg",0.00174371694715745,0.00174371694715745,100
"Term","LightGBM","term3.rds","dOxGA_2_ev_p60_avg",0.00174319218285547,0.00174319218285547,101
"Term","LightGBM","term3.rds","oxGA_2_ev_p60_avg",0.00162383822039761,0.00162383822039761,102
"Term","LightGBM","term3.rds","dOFenwickF_2_pp_p60_avg",0.00162152644423718,0.00162152644423718,103
"Term","LightGBM","term3.rds","dOSOGF_2_pp_p60_avg",0.00160970346376384,0.00160970346376384,104
"Term","LightGBM","term3.rds","iFenwickF_2_sh_p60_avg",0.00159797226346518,0.00159797226346517,105
"Term","LightGBM","term3.rds","oFenwickF_2_sh_p60_avg",0.0015756664210526,0.0015756664210526,106
"Term","LightGBM","term3.rds","dGiveaways_2_sh_p60_avg",0.00153500105433304,0.00153500105433304,107
"Term","LightGBM","term3.rds","dOFenwickF_2_ev_p60_avg",0.00150579272459883,0.00150579272459883,108
"Term","LightGBM","term3.rds","dGiveaways_2_pp_p60_avg",0.00137875008522736,0.00137875008522736,109
"Term","LightGBM","term3.rds","iSOGF_2_ev_p60_avg",0.00136591679839532,0.00136591679839532,110
"Term","LightGBM","term3.rds","dICorsiF_2_sh_p60_avg",0.00136287069631985,0.00136287069631985,111
"Term","LightGBM","term3.rds","dISOGF_2_pp_p60_avg",0.00134862961039473,0.00134862961039473,112
"Term","LightGBM","term3.rds","iFenwickF_2_ev_p60_avg",0.00134302413154818,0.00134302413154818,113
"Term","LightGBM","term3.rds","dOCorsiF_2_ev_p60_avg",0.0012654440215398,0.00126544402153979,114
"Term","LightGBM","term3.rds","dOGA_2_sh_p60_avg",0.00121236249901161,0.00121236249901161,115
"Term","LightGBM","term3.rds","dOFenwickA_2_sh_p60_avg",0.00113511662024643,0.00113511662024643,116
"Term","LightGBM","term3.rds","dOxGF_2_pp_p60_avg",0.00113050883651179,0.00113050883651179,117
"Term","LightGBM","term3.rds","dOSOGA_2_ev_p60_avg",0.00108426840524022,0.00108426840524022,118
"Term","LightGBM","term3.rds","oCorsiF_2_pp_p60_avg",0.00106210119598762,0.00106210119598762,119
"Term","LightGBM","term3.rds","dIFenwickF_2_sh_p60_avg",0.00105379974167155,0.00105379974167154,120
"Term","LightGBM","term3.rds","dOSOGA_2_pp_p60_avg",0.00104142096682993,0.00104142096682993,121
"Term","LightGBM","term3.rds","dOxGF_2_ev_p60_avg",0.00104074362394908,0.00104074362394908,122
"Term","LightGBM","term3.rds","dY_2_ev_p60_avg",0.00103061401577033,0.00103061401577033,123
"Term","LightGBM","term3.rds","dOCorsiA_2_pp_p60_avg",0.000982001003897153,0.000982001003897152,124
"Term","LightGBM","term3.rds","oxGA_2_sh_p60_avg",0.000964998652586774,0.000964998652586774,125
"Term","LightGBM","term3.rds","dISOGF_2_ev_p60_avg",0.0009643168664902,0.000964316866490199,126
"Term","LightGBM","term3.rds","dICorsiF_2_ev_p60_avg",0.000941072901863398,0.000941072901863398,127
"Term","LightGBM","term3.rds","dOxGF_2_sh_p60_avg",0.000921851767999814,0.000921851767999814,128
"Term","LightGBM","term3.rds","dOCorsiF_2_pp_p60_avg",0.000860001015924733,0.000860001015924732,129
"Term","LightGBM","term3.rds","dOCorsiA_2_sh_p60_avg",0.000854765893596994,0.000854765893596993,130
"Term","LightGBM","term3.rds","dOSOGF_2_ev_p60_avg",0.000848101444313066,0.000848101444313066,131
"Term","LightGBM","term3.rds","iGF_2_sh_p60_avg",0.000833786900441137,0.000833786900441137,132
"Term","LightGBM","term3.rds","dOFenwickA_2_ev_p60_avg",0.000826243793175078,0.000826243793175077,133
"Term","LightGBM","term3.rds","dTakeaways_2_ev_p60_avg",0.000808587516421029,0.000808587516421028,134
"Term","LightGBM","term3.rds","iSOGF_2_sh_p60_avg",0.000773102758118979,0.000773102758118979,135
"Term","LightGBM","term3.rds","iFenwickF_2_pp_p60_avg",0.000745891013930224,0.000745891013930224,136
"Term","LightGBM","term3.rds","oFenwickA_2_sh_p60_avg",0.000693748283720808,0.000693748283720807,137
"Term","LightGBM","term3.rds","x_2_pp_p60_avg",0.00067965022587556,0.000679650225875559,138
"Term","LightGBM","term3.rds","blocks_2_ev_p60_avg",0.000672424899087984,0.000672424899087984,139
"Term","LightGBM","term3.rds","dIxGF_2_ev_p60_avg",0.000669623765500822,0.000669623765500821,140
"Term","LightGBM","term3.rds","dOFenwickA_2_pp_p60_avg",0.000629978792930001,0.000629978792930001,141
"Term","LightGBM","term3.rds","dOSOGA_2_sh_p60_avg",0.000479540250272509,0.000479540250272509,142
"Term","LightGBM","term3.rds","dBlocks_2_ev_p60_avg",0.000451109296142585,0.000451109296142585,143
"Term","LightGBM","term3.rds","oSOGA_2_sh_p60_avg",0.000435552112818345,0.000435552112818345,144
"AAV%","XGBoost","aavP2.rds","term",0.513540619377695,0.513540619377696,1
"AAV%","XGBoost","aavP2.rds","prevAAVP",0.191770861179598,0.191770861179598,2
"AAV%","XGBoost","aavP2.rds","mP_2_pp_avg",0.0663647120666728,0.0663647120666728,3
"AAV%","XGBoost","aavP2.rds","mP_2_ev_avg",0.0452753046027172,0.0452753046027172,4
"AAV%","XGBoost","aavP2.rds","x_2_pp_p60_avg",0.0151490561052478,0.0151490561052478,5
"AAV%","XGBoost","aavP2.rds","oGF_2_ev_p60_avg",0.0111530938653995,0.0111530938653995,6
"AAV%","XGBoost","aavP2.rds","isResign",0.0111184205611096,0.0111184205611096,7
"AAV%","XGBoost","aavP2.rds","contractNumber",0.00924564719202604,0.00924564719202604,8
"AAV%","XGBoost","aavP2.rds","ageAtSigning",0.00644654898817846,0.00644654898817846,9
"AAV%","XGBoost","aavP2.rds","assists_2_ev_p60_avg",0.00602464183913297,0.00602464183913297,10
