teamId,gameId,gameDate,mP_ev,mP_pp,mP_sh,FW_ev,FW_pp,FW_sh,FL_ev,FL_pp,FL_sh,HG_ev,HG_pp,HG_sh,HT_ev,HT_pp,HT_sh,TW_ev,TW_pp,TW_sh,GW_ev,GW_pp,GW_sh,MD_ev,MD_pp,MD_sh,MC_ev,MC_pp,MC_sh,CF_ev,CF_pp,CF_sh,CA_ev,CA_pp,CA_sh,FF_ev,FF_pp,FF_sh,FA_ev,FA_pp,FA_sh,SF_ev,SF_pp,SF_sh,SA_ev,SA_pp,SA_sh,GF_ev,GF_pp,GF_sh,GA_ev,GA_pp,GA_sh,APF_ev,APF_pp,APF_sh,APA_ev,APA_pp,APA_sh,ASF_ev,ASF_pp,ASF_sh,ASA_ev,ASA_pp,ASA_sh,RSF_ev,RSF_pp,RSF_sh,RSA_ev,RSA_pp,RSA_sh,RBF_ev,RBF_pp,RBF_sh,RBA_ev,RBA_pp,RBA_sh,RCF_ev,RCF_pp,RCF_sh,RCA_ev,RCA_pp,RCA_sh
1,2024020573,2024-12-28,49,4,7,19,1,3,28,3,5,33,5,3,39,0,2,3,0,1,14,0,0,8,0,0,21,0,0,38,4,3,61,2,9,27,3,3,49,2,8,19,2,2,33,2,6,2,0,0,4,0,1,1,0,0,4,0,1,1,0,0,3,0,1,4,0,0,4,0,1,2,0,2,6,0,0,2,0,2,6,0,0
1,2024020598,2024-12-31,50,4,6,30,2,5,25,3,3,23,1,1,17,1,0,6,0,0,5,0,2,10,0,0,12,0,0,62,13,0,37,2,10,44,9,0,29,1,7,26,8,0,21,0,5,2,0,0,3,0,0,1,0,0,3,0,0,1,0,0,3,0,0,10,0,0,1,0,0,4,2,0,4,0,0,4,2,0,4,0,0
1,2024020602,2025-01-01,45.916666666666664,9.35,4.733333333333333,25,7,3,16,3,2,23,0,0,14,1,0,1,1,1,7,1,0,10,0,2,6,0,0,51,19,0,43,0,7,34,15,0,30,0,6,23,10,0,21,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7,1,0,3,0,0,3,4,0,6,0,4,3,4,0,6,0,4
1,2024020622,2025-01-04,49.41666666666667,3.183333333333333,7.4,31,2,3,21,2,4,20,1,0,15,1,0,3,0,0,8,2,0,2,0,2,8,0,0,50,9,2,43,0,9,32,7,2,35,0,5,24,4,2,22,0,2,1,1,0,3,0,0,1,1,0,3,0,0,0,1,0,2,0,0,4,0,0,1,0,0,7,0,0,5,0,0,7,0,0,5,0,0
1,2024020640,2025-01-06,58.46666666666667,0,1.5333333333333334,30,0,0,24,0,3,11,0,1,21,0,0,3,0,0,7,0,0,5,0,0,7,0,0,65,0,0,50,0,2,49,0,0,36,0,2,29,0,0,22,0,2,3,0,0,1,0,1,3,0,0,1,0,1,3,0,0,0,0,1,4,0,0,1,0,0,5,0,0,4,0,0,5,0,0,4,0,0
1,2024020656,2025-01-09,53.333333333333336,6.916666666666667,2.55,16,1,0,22,4,4,25,0,2,32,1,0,3,1,1,21,4,0,6,0,2,6,0,0,49,10,2,54,2,7,30,8,2,39,2,6,17,4,2,25,1,6,2,0,0,1,0,2,2,0,0,1,0,2,2,0,0,0,0,1,4,0,1,5,0,0,3,2,0,7,0,3,3,2,0,7,0,3
1,2024020674,2025-01-11,53.733333333333334,3.5833333333333335,6,22,3,1,25,1,5,27,0,0,14,0,0,1,0,0,19,0,1,4,0,0,6,0,0,49,9,0,49,0,9,35,9,0,29,0,7,20,6,0,21,0,4,2,1,0,2,0,0,1,1,0,2,0,0,1,1,0,1,0,0,3,0,0,10,0,1,3,0,0,4,0,3,3,0,0,4,0,3
1,2024020695,2025-01-14,59,4,2,27,1,3,35,2,0,28,2,0,40,2,0,6,1,0,11,0,0,6,0,0,4,0,0,50,5,0,63,1,2,37,3,0,44,1,0,24,3,0,27,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,1,0,5,0,0,4,1,0,4,0,0,4,1,0,4,0,0
1,2024020707,2025-01-16,57.81666666666666,2.65,0.7,31,2,0,33,1,2,14,0,0,25,0,0,2,0,0,15,0,0,4,0,2,4,0,0,39,11,1,73,0,3,25,8,1,52,0,3,16,7,1,39,0,2,1,2,0,3,0,1,1,2,0,3,0,1,0,2,0,3,0,1,2,0,0,5,0,0,2,3,0,3,0,1,2,3,0,3,0,1
1,2024020722,2025-01-18,53.55,4,2.45,17,2,2,20,1,1,18,0,0,9,0,1,4,0,0,20,1,0,4,0,0,4,0,0,54,8,0,56,1,2,17,7,0,32,0,2,10,3,0,16,0,2,1,0,0,2,0,1,1,0,0,2,0,1,1,0,0,1,0,1,3,0,0,8,1,0,4,2,0,14,0,0,4,2,0,14,0,0
1,2024020737,2025-01-19,52,2,6,20,1,2,18,1,1,17,0,1,23,1,0,3,2,0,13,0,0,2,0,0,6,0,0,49,5,2,41,0,5,36,3,1,29,0,4,22,3,1,19,0,1,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,0,0,3,1,0,4,0,0,7,1,0,0,0,0,7,1,0,0,0,0
