seasonId,playerId,mP_ev,mP_pp,mP_sh,Offense_ev,Defense_ev,Offense_pp,Defense_pp,Offense_sh,Defense_sh,xOffense_ev,xDefense_ev,xOffense_pp,xDefense_pp,xOffense_sh,xDefense_sh
20162017,8471760,5.633333333333334,0,0.8666666666666667,-3.418640786581075e-40,1.892677183485501e-40,-6.480615800696873e-41,8.229580577298165e-42,-9.812192226778581e-41,7.726888070061657e-40,-2.2689759764512008e-40,5.402841217323952e-5,-7.255764285555147e-4,7.964189342860388e-42,-9.495764216487384e-41,5.397206262624701e-40
20162017,8471761,19.6,0.2833333333333333,1.5833333333333333,3.3077875908290154e-41,-3.3077875908290154e-41,-8.225396977807568e-41,1.0445236886570745e-41,-3.006962134012791e-41,2.367917311793089e-40,1.1677756561494114e-41,-3.930190089346122e-5,-9.17084917667723e-4,1.0108394165938182e-41,-2.9099922598912954e-41,1.6351202080813381e-40
20162017,8471762,10.35,0,2.15,-1.8545253238698572e-39,1.0915435223220716e-39,-1.301108249216833e-39,-1.2495976804860674e-39,-2.5410737423494313e-39,1.4405525745138311e-39,-8.880125710018966e-40,9.347865310202396e-4,-0.013822491477995151,-3.792001833350147e-40,-1.5852242955815927e-39,3.964095407157602e-39
20162017,8471766,4.933333333333334,0,0,-1.100059864299532e-39,4.896744230613138e-40,-7.253304607703041e-40,9.21079979997602e-41,-2.3422652412310166e-41,1.84448295865988e-40,-7.675019148852881e-40,1.1852577443185134e-4,-0.0064541323920636745,7.526261379892933e-41,-2.2667308129679564e-41,1.9186663406963048e-40
20162017,8471768,9.933333333333334,0,3.95,-1.550686314461563e-39,1.8558790350807736e-39,-2.976098179243095e-39,3.779276618959232e-40,2.812909174466093e-40,-5.576230584554518e-39,-1.2153052527712996e-39,8.270285416339157e-4,-0.021278155287565412,3.4666165399564934e-40,-1.608287972622628e-39,4.1426064925513736e-39
20162017,8471769,15.85,0.06666666666666667,5.4,6.772930342853291e-40,3.908814878815764e-40,-1.4790218727732013e-39,3.674824250093523e-40,-2.716110590781967e-39,-8.499648989103336e-39,8.900742674140157e-40,6.315262384049343e-4,-0.0267397768501909,2.267405651801995e-40,-1.3412830070717351e-39,-5.6336221109562566e-39
20162017,8471794,14.916666666666666,0,2.1666666666666665,-1.0230931851258234e-40,-8.132688433447525e-40,-2.2156618140231957e-40,-4.883614770859866e-40,-2.162172292626943e-40,1.5255033145388636e-39,-1.0121635230008535e-39,-3.3962895898299704e-4,-0.016073840673512366,-4.986465017622799e-40,7.180011019066827e-40,-1.3647183853260335e-39
20162017,8471811,9.966666666666669,2.6666666666666665,0,-3.142469610888406e-40,-6.013312007685044e-40,-2.7761540510555265e-40,2.1491866199944048e-40,NA,NA,-1.6084009749050536e-40,-4.8165563333180725e-5,-0.010648564910386788,2.079878678385463e-40,NA,NA
20162017,8471816,2.45,0,0,1.1066608393843132e-40,4.1930276371125994e-41,NA,NA,-3.798267958753e-42,2.99105344647548e-41,-1.8600480869536357e-41,6.058535848595669e-5,NA,NA,-3.675779696704793e-42,3.1113508227507644e-41
20162017,8471817,6.183333333333334,0,0,-8.58873478716794e-40,1.31666255964545e-39,-1.0867494188860914e-39,1.3800373583469228e-40,-4.4629648515347747e-41,3.5144877996086895e-40,-1.3935690942115241e-39,0.0011843273836965019,-0.011758324992365314,1.3355332898027417e-40,1.2680551748353754e-40,3.6558372167321483e-40
20162017,8471873,19.316666666666663,3.05,0.8833333333333333,5.855766020780843e-40,-5.855766020780892e-40,-4.093160528811283e-39,1.0812727568686898e-39,-1.0056563979671976e-39,-3.753573904817621e-39,7.874130469789095e-40,-6.599067378690964e-4,-0.028036805959575816,-3.0628255318646052e-40,1.5561469926554331e-40,2.3545596893884957e-39
20162017,8471887,13.466666666666669,1.8833333333333333,0,2.8438831162778182e-39,8.18429531151435e-40,2.0177424378759618e-38,2.1539994108301884e-39,-1.0920020381414875e-40,8.599278658617007e-40,2.6227480225403825e-39,7.088249621088009e-5,0.08546877543180857,-2.7945701760765998e-39,1.7825650070286091e-40,8.363201671740069e-40
20162017,8471956,9.266666666666667,0,1.1833333333333331,-9.43741630609902e-40,2.816346875257468e-41,-2.24329008485661e-40,2.848700969064749e-41,-5.95061980204636e-40,4.41516722736115e-40,2.1312629692701396e-41,7.188709716191542e-5,-0.002333623057127078,2.756834772528596e-41,-9.082562407257253e-41,-6.497930860455677e-40
20162017,8471958,14.6,0,2.55,-2.8570574670083935e-40,2.8570574670086896e-40,-9.272265684073988e-40,1.1774630672134293e-40,6.458727318253785e-39,3.0768750357716e-39,5.619016315276349e-40,-0.0010539677030223472,-0.008465859080974426,1.1394917059784863e-40,2.3025189488136233e-39,-7.153793706104796e-41
20162017,8471976,10.383333333333333,1.15,0.7,1.0686070822619648e-40,1.113910174250234e-39,-2.7405857487513352e-39,-3.4814208494202043e-40,-6.741925626786575e-41,5.309119867493978e-40,-3.8124363121664885e-40,3.82210568506917e-4,-0.05209736181379951,3.914353125148559e-40,1.8745666522273796e-41,5.111408239615636e-40
20162017,8471996,10.2,0,0,-1.3724019070904158e-40,-1.5356169600516078e-41,-2.7417989926025233e-41,3.481745628856916e-42,NA,NA,-8.918233261083312e-41,-1.687486483018857e-5,-2.845316093712769e-4,3.3694647219793943e-42,NA,NA
20162017,8472382,18.316666666666663,0.8333333333333334,3.033333333333333,-1.7052572105012095e-39,-7.362845544517095e-40,2.429828529043991e-39,-2.5767108538530006e-39,5.149570594205365e-41,-2.3518209127450165e-39,-3.796615310733387e-40,6.07812205318323e-5,-0.0033584282364835494,1.0084622973224772e-40,-1.1503405305097488e-39,-6.511029746817497e-40
20162017,8472410,10.85,0.7333333333333333,1.2,5.785904532452218e-40,6.421804292312405e-40,-6.904348372280902e-40,8.767668538121508e-41,7.52974144879112e-40,-1.8622010529755916e-39,-5.6964890099715224e-40,2.131913240703209e-5,-0.00434930045753881,8.484924799893566e-41,-1.95000722991116e-40,1.0728863874503482e-40
20162017,8473412,2.8,0,0,1.7678273565729284e-39,-2.225616437501569e-39,4.9506679621697906e-39,-4.468816386084453e-39,-1.4031434884293395e-39,-4.513595763421899e-39,9.265139011646198e-40,-0.0015368817301426266,-0.002597596567859401,-1.3836412586111978e-39,1.0267659632829937e-39,2.379579484746572e-40
