playerId,mP_2_all,x_2_all,y_2_all,CorsiA_2_all,FenwickA_2_all,SOGA_2_all,GA_2_all,xGA_2_all,mP_3_all,x_3_all,y_3_all,CorsiA_3_all,FenwickA_3_all,SOGA_3_all,GA_3_all,xGA_3_all
8477361,543.4666666666667,60.701949860724234,0.4958217270194986,359,359,257,34,26.825980848863082,0,NA,NA,0,0,0,0,0
8477424,3809.983333333333,61.33754266211604,0.03890784982935153,2930,2930,2099,171,205.32719471531237,0,NA,NA,0,0,0,0,0
8477465,2650.0333333333333,57.838304552590266,0.16012558869701726,1911,1911,1414,128,126.6495318922668,0,NA,NA,0,0,0,0,0
8477480,1111.9833333333333,59.58521303258146,0.6942355889724311,798,798,594,68,61.571296759750595,0,NA,NA,0,0,0,0,0
8477484,1610.1833333333334,60.762608695652176,-0.16608695652173913,1150,1150,830,107,85.156283655178,0,NA,NA,0,0,0,0,0
8477831,2089.483333333333,59.288086642599275,0.2888086642599278,1385,1385,947,92,96.17560325873912,28.183333333333334,63.5,5.4,10,10,8,2,0.7260093510652723
8477967,1878.5166666666667,58.850359712230215,-0.25323741007194245,1390,1390,1005,99,93.41325984969846,0,NA,NA,0,0,0,0,0
8477968,832.6333333333333,59.28086419753087,-0.4783950617283951,648,648,466,49,42.7154900584266,0,NA,NA,0,0,0,0,0
8477970,2915.5666666666666,58.692864529472594,0.11840744570837643,1934,1934,1333,119,132.84844245055257,271.6,59.376344086021504,0.3817204301075269,186,186,120,21,13.943331566521888
8477992,142.95,63.62244897959184,2.2346938775510203,98,98,73,5,6.816775738127591,0,NA,NA,0,0,0,0,0
8478007,1560.2,58.94329073482428,0.25798722044728434,1252,1252,889,110,83.55962914178514,0,NA,NA,0,0,0,0,0
8478009,3587.0666666666666,59.93632527809743,-0.2508630609896433,2607,2607,1839,140,179.95360213023557,369.45,58.15151515151515,-1.5858585858585859,297,297,211,16,16.730382129357153
8478024,3220.233333333333,59.996898537882146,-0.0974745237040319,2257,2257,1603,167,153.91761287655203,0,NA,NA,0,0,0,0,0
8478039,2106.25,59.96185115697311,-0.08630393996247655,1599,1599,1149,135,112.50007354103072,0,NA,NA,0,0,0,0,0
8478048,3488.766666666667,60.928360724820905,-0.6582385166455963,2373,2373,1719,144,173.41294779650087,427.6333333333333,63.280936454849495,-1,299,299,203,14,23.51073143775953
8478406,1125.55,58.45522388059702,-1.092039800995025,804,804,563,60,53.19920540104763,0,NA,NA,0,0,0,0,0
8478433,1112.85,60.12545676004872,-0.2192448233861145,821,821,575,69,58.18737934281411,0,NA,NA,0,0,0,0,0
8478435,1483.9166666666667,58.631413612565446,0.7413612565445026,955,955,669,72,68.4689461662873,0,NA,NA,0,0,0,0,0
8478470,2333.85,61.483253588516746,0.10047846889952153,1881,1881,1345,133,139.24147895959356,0,NA,NA,0,0,0,0,0
8478492,2475.6,59.34844868735084,0.2828162291169451,1676,1676,1184,96,114.02454711599468,498.15,59.194736842105264,0.3763157894736842,380,380,255,26,24.883406403924983
8478499,1490.9,60.17096466093601,-0.19484240687679083,1047,1047,722,62,63.52863944380964,913.3333333333334,60.68950437317784,1.021865889212828,686,686,488,33,39.870991578333154
8478872,2940.8333333333335,60.70055061414655,0.3261329944938585,2361,2361,1671,168,169.29185393816883,0,NA,NA,0,0,0,0,0
8478902,561.6666666666666,59.862637362637365,-1.184065934065934,364,364,246,25,24.57031309705574,0,NA,NA,0,0,0,0,0
8478916,248.13333333333333,58.4585635359116,-0.40331491712707185,181,181,130,13,13.200640093536215,0,NA,NA,0,0,0,0,0
