playerId,playerFullName,gamesPlayed_20242025_2,timeOnIce_20242025_2,iFenwickA_20242025_2,iFenwickAper82_20242025_2,iFenwickAper60_20242025_2,iSOGA_20242025_2,iSOGAper82_20242025_2,iSOGAper60_20242025_2,iGA_20242025_2,iGAper82_20242025_2,iGAper60_20242025_2,ixGA_20242025_2,ixGAper82_20242025_2,ixGAper60_20242025_2,iGSaX_20242025_2,iGSaXper82_20242025_2,iGSaXper60_20242025_2,gamesPlayed_20242025_3,timeOnIce_20242025_3,iFenwickA_20242025_3,iFenwickAper82_20242025_3,iFenwickAper60_20242025_3,iSOGA_20242025_3,iSOGAper82_20242025_3,iSOGAper60_20242025_3,iGA_20242025_3,iGAper82_20242025_3,iGAper60_20242025_3,ixGA_20242025_3,ixGAper82_20242025_3,ixGAper60_20242025_3,iGSaX_20242025_3,iGSaXper82_20242025_3,iGSaXper60_20242025_3
8475883,Frederik Andersen,22,1319.5166666666667,871,3246.4545454545455,39.605411072236045,594,2214,27.009889984969245,55,205,2.5009157393490042,67.67477332695853,252.24233694593633,3.077252832186668,12.67477332695853,47.24233694593634,0.5763370928376641,13,743.0666666666667,452,2851.076923076923,36.497398169746994,594,3746.769230769231,47.963394939888744,25,157.6923076923077,2.018661403193971,30.249715944053605,190.8059005701843,2.442557361353691,5.249715944053605,33.113592877876584,0.4238959581597205
8476341,Anton Forsberg,30,1676.5333333333333,1230,3362,44.01940512167966,825,2255,29.525210752346112,76,207.73333333333332,2.719898202640369,84.26270945067517,230.31807249851215,3.0156051576907767,8.262709450675175,22.58473916517881,0.2957069550504079,0,0,0,0,0,825,Inf,Inf,0,0,0,0,0,0,0,0,0
8476412,Jordan Binnington,56,3238.983333333333,2252,3297.5714285714284,41.71679384992205,1499,2194.964285714286,27.767972460494292,145,212.32142857142858,2.686028023196579,150.67271068895934,220.6278977945476,2.791111194769211,5.6727106889593415,8.306469223119036,0.10508317157263149,7,450.5,327,3830.5714285714284,43.55160932297448,1499,17559.714285714286,199.64483906770255,19,222.57142857142858,2.530521642619312,19.83068789052777,232.30234386046817,2.641157099737328,0.8306878905277699,9.73091528903959,0.11063545711801598
8476434,John Gibson,29,1562.15,1209,3418.551724137931,46.43600166437282,811,2293.1724137931033,31.14937746055116,72,203.58620689655174,2.765419453957686,82.89407559292158,234.39014477998515,3.1838456842014495,10.894075592921581,30.803937883433434,0.4184262302437633,0,0,0,0,0,811,Inf,Inf,0,0,0,0,0,0,0,0,0
8476883,Andrei Vasilevskiy,63,3743.0833333333335,2555,3325.5555555555557,40.955540218625465,1756,2285.5873015873017,28.147917269630653,136,177.015873015873,2.1800209274884788,166.88838656054577,217.21980472959928,2.6751483474762994,30.88838656054577,40.203931713726234,0.4951274199878209,5,293.35,182,2984.7999999999997,37.2251576614965,1756,28798.399999999998,359.16141128344975,16,262.40000000000003,3.2725413328788133,12.223997353808954,200.47355660246686,2.5002210370838154,-3.7760026461910456,-61.92644339753315,-0.7723202957949982
8476899,Matt Murray,2,118.65,117,4797,59.16561314791403,76,3116,38.43236409608091,7,287,3.5398230088495577,5.785981095978059,237.2252249351004,2.925907001758816,-1.2140189040219411,-49.774775064899586,-0.6139160070907413,1,13.616666666666667,8,656,35.250917992656056,76,6232,334.8837209302326,1,82,4.406364749082007,0.5189512269571424,42.55400061048567,2.2866883929568087,-0.48104877304285765,-39.44599938951433,-2.119676356125199
8476914,Joonas Korpisalo,27,1529.7,1141,3465.259259259259,44.75387330849186,744,2259.5555555555557,29.18219258678172,74,224.74074074074076,2.9025299078250635,80.25588448141934,243.74009361023653,3.1479068241388246,6.2558844814193435,18.999352869495784,0.24537691631376124,0,0,0,0,0,744,Inf,Inf,0,0,0,0,0,0,0,0,0
8476932,Anthony Stolarz,34,1986.9,1571,3788.882352941176,47.44073682621168,1011,2438.2941176470586,30.52997131209422,71,171.23529411764707,2.1440434848256076,101.4072622936801,244.57045612005203,3.062275775137554,30.407262293680105,73.33516200240496,0.9182322903119464,7,410.3,257,3010.5714285714284,37.58225688520594,1011,11843.142857142857,147.84304167682183,15,175.71428571428572,2.19351693882525,15.642706799437292,183.24313679340827,2.287502822242841,0.6427067994372919,7.528851079122562,0.09398588341759083
8476945,Connor Hellebuyck,63,3741.366666666667,2709,3526,43.44401778316301,1746,2272.5714285714284,28.00046328881603,125,162.6984126984127,2.0046150693596814,172.58436327881645,224.63361569623729,2.7677217229164883,47.584363278816454,61.93520299782459,0.7631066535568074,13,759.2333333333333,490,3090.769230769231,38.72327347763094,1746,11013.23076923077,137.9812969223339,39,246,3.0820564604645035,31.41537217632867,198.1585014199193,2.4826654044602714,-7.58462782367133,-47.84149858008069,-0.599391056004232
8476999,Linus Ullmark,44,2467.2833333333333,1888,3518.5454545454545,45.912846112796124,1315,2450.681818181818,31.97849186352061,112,208.72727272727272,2.7236434134709566,127.24966591224074,237.14710465463045,3.0944885216808413,15.249665912240744,28.419831927357748,0.37084510820988453,6,380.03333333333336,242,3307.3333333333335,38.207174809227254,1315,17971.666666666664,207.61336724848695,18,246,2.841855977545829,15.492971970583312,211.73728359797192,2.446044166919565,-2.507028029416688,-34.26271640202806,-0.39581181062626414
