playerId,gP_2,mP_2,x_2_std,x_2_all,y_2_std,y_2_all,iCorsiF_2_std,iCorsiF_2_all,iFenwickF_2_std,iFenwickF_2_all,iSOGF_2_std,iSOGF_2_all,iGF_2_std,iGF_2_all,ixGF_2_std,ixGF_2_all,oCorsiF_2_std,oCorsiF_2_all,oFenwickF_2_std,oFenwickF_2_all,oSOGF_2_std,oSOGF_2_all,oGF_2_std,oGF_2_all,oxGF_2_std,oxGF_2_all,oCorsiA_2_std,oCorsiA_2_all,oFenwickA_2_std,oFenwickA_2_all,oSOGA_2_std,oSOGA_2_all,oGA_2_std,oGA_2_all,oxGA_2_std,oxGA_2_all,gP_3,mP_3,x_3_std,x_3_all,y_3_std,y_3_all,iCorsiF_3_std,iCorsiF_3_all,iFenwickF_3_std,iFenwickF_3_all,iSOGF_3_std,iSOGF_3_all,iGF_3_std,iGF_3_all,ixGF_3_std,ixGF_3_all,oCorsiF_3_std,oCorsiF_3_all,oFenwickF_3_std,oFenwickF_3_all,oSOGF_3_std,oSOGF_3_all,oGF_3_std,oGF_3_all,oxGF_3_std,oxGF_3_all,oCorsiA_3_std,oCorsiA_3_all,oFenwickA_3_std,oFenwickA_3_all,oSOGA_3_std,oSOGA_3_all,oGA_3_std,oGA_3_all,oxGA_3_std,oxGA_3_all
8473466,20,290.3333333333333,64.8,62.75,-12.35,-10.041666666666666,20,24,15,18,10,12,0,0,0.6768195150123799,0.7412710573124724,186,205,129,142,94,104,4,4,7.100645938672033,7.836779861495224,268,328,199,241,150,181,11,16,9.875059889896026,13.937790026986038,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473473,81,1379.3499449999997,64.79646017699115,64.25818181818182,4.349557522123894,3.6836363636363636,226,275,162,205,115,149,19,26,13.056400925342011,18.121360188584205,1250,1611,891,1128,644,818,64,89,50.38199933205361,70.03339591601954,979,1053,743,807,542,594,54,60,44.72895116201157,53.01970739858584,7,141.96666166666668,59.63157894736842,61.54545454545455,4.7894736842105265,4.7727272727272725,19,22,15,18,9,12,0,0,1.0269258213430068,1.4727411548254128,115,165,83,114,57,77,3,4,4.061663929825296,6.617414236434218,92,97,73,78,62,67,2,2,3.7557167808417913,4.012578031011637
8473482,79,1177.5666266666667,65.94845360824742,65.19469026548673,4.561855670103093,3.924778761061947,194,226,156,181,115,136,14,17,10.835250669324555,13.715465049094863,920,1043,679,780,476,556,42,56,39.315930327620876,49.32618632896126,1045,1263,773,931,547,662,43,53,48.389065914723176,64.5508446977788,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473484,65,736.5333083333334,60.88059701492537,61.30201342281879,3,3.214765100671141,134,149,105,116,68,77,5,5,5.587720740465911,6.446722396278391,554,608,410,455,282,309,21,26,22.50177778222824,27.281114592832616,620,835,465,612,332,438,25,37,29.02142528732675,41.196871086824196,1,10.5,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6,6,4,4,2,2,0,0,0.33069980032068236,0.33069980032068236,7,19,5,16,2,7,1,1,0.5181265561121401,1.7287453316598325
8473485,79,1219.6332049999999,65.51923076923077,62.639405204460964,-4.639423076923077,-4.4869888475836435,208,269,173,222,131,166,10,15,12.66602165921863,18.761414810928773,974,1243,746,940,508,642,34,42,45.282904246060156,62.83130864510914,977,1050,712,771,516,559,33,36,43.9979567181855,48.94752937739898,7,75.516665,64.42857142857143,64.42857142857143,-4.642857142857143,-4.642857142857143,14,14,14,14,13,13,2,2,0.7549529287111594,0.7549529287111594,53,58,47,51,34,36,2,2,2.419489711702604,2.6959358598084893,63,68,38,41,20,21,1,2,2.343576215584564,3.853216741025223
8473492,70,718.55,62.30065359477124,62.46153846153846,0.4117647058823529,0.42948717948717946,153,156,109,111,75,75,4,4,6.9447157063110625,7.19982338897999,567,592,423,441,298,308,24,25,24.38450905064797,26.336245878812328,658,664,497,503,359,361,26,26,28.58105240206988,28.995827804249156,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473493,15,101,70.78571428571429,70.26666666666667,3.4285714285714284,3.066666666666667,14,15,11,11,10,10,1,1,1.0324988601457075,1.0324988601457075,73,76,54,55,44,45,6,6,3.421238816565966,3.4486983952009056,88,91,71,74,42,44,2,3,4.291580484676496,4.524958884036042,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473504,74,1210.38322,62.394366197183096,58.83098591549296,0.023474178403755867,-0.15492957746478872,213,284,167,226,115,161,8,15,9.600868706122963,15.754729745950277,716,993,539,748,388,539,23,45,32.70845593603948,52.24970406339553,903,1127,648,822,457,583,29,48,33.521165358410784,49.59448487970897,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473507,73,1588.5166216666667,51.21621621621622,49.42259414225941,-12.237837837837837,-8.857740585774058,185,239,123,162,83,111,1,2,4.583956497252327,6.2603165756324755,1113,1324,828,991,581,700,50,64,55.58029864760403,69.54318262304864,1153,1520,819,1105,617,828,56,83,56.66572920852944,88.28833932630965,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8473511,7,76.39999499999999,50,51.30769230769231,-1.6666666666666667,-2.230769230769231,12,13,9,9,6,6,1,1,0.4616689030425605,0.4616689030425605,53,55,42,43,23,24,2,2,2.1707540375859513,2.2132016248183333,81,91,55,64,39,46,3,4,2.934008199744528,3.682992284520609,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
