playerId,gP_2,mP_2,d_2,a_2,FenwickA_2_std,FenwickA_2_all,SOGA_2_std,SOGA_2_all,GA_2_std,GA_2_all,xGA_2_std,xGA_2_all,gP_3,mP_3,d_3,a_3,FenwickA_3_std,FenwickA_3_all,SOGA_3_std,SOGA_3_all,GA_3_std,GA_3_all,xGA_3_std,xGA_3_all
8476903,20,1004.75,35.82289966515282,29.024197309636655,616,732,459,550,47,62,38.89388190382792,50.956821761316384,0,0,NA,NA,0,0,0,0,0,0,0,0
8476904,27,1478.4,34.79093360061183,32.30909781569307,823,1009,584,722,47,73,49.674351532246085,65.85379171870775,0,0,NA,NA,0,0,0,0,0,0,0,0
8476914,22,1128.4833333333333,33.43356474998854,28.447361011478222,659,834,502,634,57,78,47.742774534156,65.34031136917882,0,0,NA,NA,0,0,0,0,0,0,0,0
8476932,28,1506.4166666666667,34.83873645724754,30.405638200715345,866,1111,618,809,50,67,50.07604104577294,72.53296300467534,0,0,NA,NA,0,0,0,0,0,0,0,0
8476945,66,3903.5,35.257934415733594,27.899331258978137,2291,2933,1666,2155,134,193,141.31790021938207,202.19517569075995,0,0,NA,NA,0,0,0,0,0,0,0,0
8476999,41,2330.4333333333334,37.0507267814448,28.7557679428397,1170,1555,848,1140,68,95,65.82670748412481,99.2918876833395,2,115.25,38.08227729854431,30.320139400305763,55,85,36,57,6,8,2.636658966477488,5.5538950896626185
8477180,12,565.3833333333333,35.1666845154017,30.416046767410084,371,464,284,355,23,38,23.831751208969436,32.59333270804351,0,0,NA,NA,0,0,0,0,0,0,0,0
8477202,11,586.4666666666667,33.78470243594006,29.182302182001578,343,437,243,314,26,38,22.58145982085366,31.306049785082372,0,0,NA,NA,0,0,0,0,0,0,0,0
8477293,28,1516.6333333333334,34.45686043732669,32.08658801974335,788,972,572,706,44,62,53.28020048949772,69.56481035553303,13,663.4166666666666,35.44782274703959,35.65912826948849,364,464,250,322,15,25,19.758146983057138,28.190845816440966
8477361,37,2176.5,34.06535660336671,31.701152921230705,1107,1402,787,1002,74,105,73.55651116770166,102.06775550188456,1,32.233333333333334,31.087339794215552,27.997220757472917,25,27,19,20,4,4,1.6877451321497312,1.9647342162031045
8477424,67,3931.7,34.151325694661665,31.000215599904024,2114,2869,1551,2107,113,173,125.10552267558415,194.35946607437583,0,0,NA,NA,0,0,0,0,0,0,0,0
8477457,4,171.58333333333334,33.7042001304292,27.393477050324332,79,102,53,66,2,5,4.85061432473225,6.654185081998156,0,0,NA,NA,0,0,0,0,0,0,0,0
8477465,58,3415.1833333333334,35.579008917464506,29.081345128024484,1805,2280,1366,1711,102,138,108.83703639595971,154.25683207291198,1,64.76666666666667,39.23722802007846,32.8444743639437,37,47,23,30,3,4,1.3325708992960656,2.0158450555066514
8477480,19,1024.8166666666666,33.782109029722825,28.687117648321205,598,750,438,550,28,44,40.54111851192373,55.503654604041664,0,0,NA,NA,0,0,0,0,0,0,0,0
8477484,6,378.35,33.68035347825226,29.19607036492619,215,302,153,218,8,11,13.357669532946826,23.046142335267202,0,0,NA,NA,0,0,0,0,0,0,0,0
8477831,2,96.58333333333333,37.87294921986885,33.23340791936696,59,68,35,41,2,5,2.9060508006382024,3.697854431527274,0,0,NA,NA,0,0,0,0,0,0,0,0
8477967,64,3700.65,35.32755448055049,30.154346741175026,2119,2662,1553,1967,106,168,131.16241070812237,181.77849503641505,0,0,NA,NA,0,0,0,0,0,0,0,0
8477968,59,3230.8,33.261109016624474,32.19109251372683,1934,2380,1456,1797,128,178,130.03689731843414,175.29522517428566,0,0,NA,NA,0,0,0,0,0,0,0,0
8477970,42,2317.383333333333,35.6764040468188,29.903737749835262,1234,1554,878,1118,66,103,75.26220892307529,103.55326052032656,2,99.81666666666666,40.21051875140253,31.072819789682946,59,71,41,51,7,7,3.2259374857447045,3.8976117407653668
8477992,11,486.51666666666665,35.748494317126514,32.31952307186544,288,341,223,265,33,39,17.397728012809186,21.32117455405121,0,0,NA,NA,0,0,0,0,0,0,0,0
8478007,59,3320.116666666667,34.59711569211435,29.92060432078595,2111,2584,1579,1922,132,178,135.85961004074758,180.82577098398826,0,0,NA,NA,0,0,0,0,0,0,0,0
8478009,52,3072.2833333333333,35.14518417457104,28.918845102421226,1834,2256,1329,1643,85,123,113.4996142874304,151.87713264020044,0,0,NA,NA,0,0,0,0,0,0,0,0
8478024,40,2341.233333333333,32.88541427814567,30.575482421851554,1413,1727,1007,1236,75,100,89.52943649076272,118.54257244846625,7,409.26666666666665,34.18516736601657,33.02357827525691,251,316,184,228,21,25,14.093047713459868,20.168137907810955
8478039,36,1946.95,36.69537390044927,29.103994888103035,1115,1467,802,1056,63,93,65.46130001521621,97.16518559695592,0,0,NA,NA,0,0,0,0,0,0,0,0
8478048,53,3070.5333333333333,34.10432852698912,30.031366735817226,1743,2221,1260,1622,82,106,109.64751732667814,151.7617298305669,20,1181.5666666666666,33.84902650839578,31.38794541431219,819,993,584,720,36,51,50.19381715488296,66.26992407697576
8478406,25,1399.05,37.10267775254212,28.017582691104135,853,1013,615,731,63,79,52.973786010847284,68.0026499835057,0,0,NA,NA,0,0,0,0,0,0,0,0
